iter	Logloss
0	0.6797644735
1	0.6673256941
2	0.6603834519
3	0.6486514395
4	0.6361250031
5	0.625356546
6	0.6148897027
7	0.6048315772
8	0.5956651196
9	0.5855885062
10	0.5774039463
11	0.5694845397
12	0.5608114168
13	0.5533753968
14	0.5460376843
15	0.5386689596
16	0.5328489144
17	0.5251263328
18	0.5206654075
19	0.5149862112
20	0.5090564237
21	0.506131521
22	0.5009312686
23	0.4961465844
24	0.4938779013
25	0.4890584434
26	0.4843865183
27	0.4813609512
28	0.4764806684
29	0.4726223635
30	0.4688992718
31	0.4657520656
32	0.4619764587
33	0.4594727956
34	0.4563432351
35	0.4537195776
36	0.4509119949
37	0.4488547503
38	0.4458547526
39	0.4446898051
40	0.442418389
41	0.4398956656
42	0.4384010867
43	0.4358029934
44	0.4336850373
45	0.4317244385
46	0.4297875343
47	0.4276243279
48	0.4256762615
49	0.4231215364
50	0.4224756378
51	0.4209959709
52	0.4193692958
53	0.4178698132
54	0.4167970756
55	0.4147580409
56	0.4141880941
57	0.4135607177
58	0.4119885369
59	0.4104069183
60	0.4090533388
61	0.407591119
62	0.406357504
63	0.4053327882
64	0.4045424655
65	0.4035789436
66	0.403302494
67	0.4020032872
68	0.4010880474
69	0.3998852044
70	0.3990266429
71	0.3980387104
72	0.3970145052
73	0.396498002
74	0.395689851
75	0.3944377412
76	0.3942256196
77	0.3934445116
78	0.3923822121
79	0.3916314304
80	0.3910874416
81	0.3908793357
82	0.3898407881
83	0.3891664198
84	0.3882495616
85	0.3871697617
86	0.3869602196
87	0.385960678
88	0.3851230793
89	0.3839580616
90	0.3827880972
91	0.3819929376
92	0.3811046325
93	0.3810007342
94	0.3808986386
95	0.3798996452
96	0.3795589094
97	0.3792926734
98	0.3785067184
99	0.3776435915
100	0.3775048305
101	0.3770365998
102	0.3760892266
103	0.3751755781
104	0.3746458386
105	0.3741449713
106	0.3739640163
107	0.3730690274
108	0.3728896925
109	0.3723922522
110	0.371816746
111	0.3711997808
112	0.3710486288
113	0.3705124026
114	0.3700967979
115	0.3698732695
116	0.3691592335
117	0.3686737773
118	0.3684380446
119	0.3679831545
120	0.3675641656
121	0.3671667188
122	0.3671333941
123	0.3663804655
124	0.3659274599
125	0.3656849824
126	0.3652844312
127	0.3648678536
128	0.3643701754
129	0.3639010704
130	0.3635126953
131	0.3630448805
132	0.3625391768
133	0.3617841566
134	0.3614152456
135	0.3612356465
136	0.3610154069
137	0.3607740722
138	0.3603718621
139	0.3599481245
140	0.359660138
141	0.359449555
142	0.35928551
143	0.358918182
144	0.3582716368
145	0.357734445
146	0.3574219423
147	0.357380159
148	0.3571167917
149	0.3569981861
150	0.3568789074
151	0.3567484785
152	0.3565510067
153	0.3561785143
154	0.3559188826
155	0.3556328136
156	0.3553309672
157	0.3549393455
158	0.3544759443
159	0.3543228027
160	0.3542326277
161	0.3539305088
162	0.353526515
163	0.3531737679
164	0.352979558
165	0.3524767026
166	0.3522272434
167	0.3518405804
168	0.3514182102
169	0.3511400819
170	0.3509942791
171	0.3505885214
172	0.3505170508
173	0.349821262
174	0.349723338
175	0.3494599809
176	0.3492142418
177	0.3484668143
178	0.348179157
179	0.3477827395
180	0.3473527961
181	0.3473476958
182	0.3469525713
183	0.3467798313
184	0.3466218863
185	0.346373091
186	0.3459449232
187	0.3457334945
188	0.3455041727
189	0.3453235099
190	0.3450384972
191	0.3447460494
192	0.3440428487
193	0.3437490466
194	0.3436051442
195	0.3433424356
196	0.3429058233
197	0.3428766237
198	0.3427897044
199	0.342090837
200	0.3418577398
201	0.3417757902
202	0.3415165908
203	0.3413677742
204	0.3410015511
205	0.3404473907
206	0.3402037528
207	0.3400676501
208	0.3397300202
209	0.3395724122
210	0.3394507577
211	0.3391568014
212	0.3390936629
213	0.339026143
214	0.3389485338
215	0.3387101688
216	0.3381554158
217	0.3378363185
218	0.3376160182
219	0.3373407224
220	0.337013706
221	0.3365743074
222	0.3363003717
223	0.3361167652
224	0.3356138577
225	0.3354626523
226	0.335188641
227	0.3346783785
228	0.3345830278
229	0.3340121796
230	0.3339213334
231	0.3335325339
232	0.3333386629
233	0.3331120455
234	0.333069202
235	0.3329595832
236	0.3324968743
237	0.3322134892
238	0.3321656632
239	0.3319749143
240	0.3317189554
241	0.3312964468
242	0.3311855812
243	0.3309169868
244	0.330768089
245	0.3307059482
246	0.3306437425
247	0.3305585766
248	0.3301308207
249	0.3296846033
250	0.3294835834
251	0.3292502286
252	0.3288990306
253	0.3286439476
254	0.3284905436
255	0.3282947168
256	0.3281105129
257	0.3278542309
258	0.3277835493
259	0.3277368787
260	0.3276515273
261	0.3273717795
262	0.3273414783
263	0.3269693551
264	0.3264913818
265	0.3262893828
266	0.3259955315
267	0.3257476011
268	0.3255743578
269	0.3253434947
270	0.3249528887
271	0.3245696272
272	0.3240766737
273	0.3238448462
274	0.3237946404
275	0.323492453
276	0.3232593803
277	0.3229812281
278	0.3227027869
279	0.3226227062
280	0.3224375353
281	0.3219351597
282	0.3215855969
283	0.3214251699
284	0.321164756
285	0.3208896994
286	0.3204132279
287	0.3201782503
288	0.3200197934
289	0.3197255891
290	0.3192112701
291	0.3186825154
292	0.3183977794
293	0.3182171699
294	0.3178732844
295	0.3176648275
296	0.3172570858
297	0.3168822944
298	0.3165229644
299	0.3159204449
300	0.3157048198
301	0.3152410458
302	0.3147931393
303	0.3145426681
304	0.3142098044
305	0.3141388823
306	0.313867989
307	0.3137888517
308	0.3132921045
309	0.313034461
310	0.3127919976
311	0.3125713758
312	0.3123244498
313	0.3118978235
314	0.3118237957
315	0.3116547173
316	0.3113782112
317	0.3112168084
318	0.3109474049
319	0.3108306963
320	0.310652595
321	0.3103271823
322	0.310040771
323	0.3096758144
324	0.3095032177
325	0.3089031137
326	0.3082532748
327	0.3079929801
328	0.3078349994
329	0.3075913953
330	0.307432672
331	0.3071525876
332	0.306692788
333	0.3062738406
334	0.3059368437
335	0.3056379342
336	0.3053218208
337	0.305223759
338	0.3050875253
339	0.3048917752
340	0.3043639616
341	0.3041695904
342	0.3039870478
343	0.3038616243
344	0.3037219437
345	0.3034276843
346	0.3030536096
347	0.3027050622
348	0.3024045489
349	0.301852985
350	0.3014838838
351	0.3013785164
352	0.3012253572
353	0.3009292713
354	0.3006783515
355	0.2999761632
356	0.2997867288
357	0.2995858641
358	0.2989098665
359	0.2985646732
360	0.2983267958
361	0.2982526803
362	0.2976540483
363	0.297604112
364	0.2971950445
365	0.2969467651
366	0.2966675453
367	0.2962177756
368	0.2960764106
369	0.2958554094
370	0.2957673914
371	0.2953609684
372	0.2952155361
373	0.2950640211
374	0.2950207545
375	0.2946772255
376	0.2944034654
377	0.2941503181
378	0.2940530471
379	0.2939043303
380	0.2934626981
381	0.2933686197
382	0.2931814352
383	0.2927785922
384	0.2923859334
385	0.2922053211
386	0.2916734887
387	0.2915114819
388	0.2911779246
389	0.291010514
390	0.2909016294
391	0.290712513
392	0.2902928271
393	0.2900736627
394	0.2898490155
395	0.2896056983
396	0.2894153084
397	0.2892178813
398	0.2889355658
399	0.2887301454
400	0.2884978157
401	0.288299374
402	0.2881613777
403	0.287737305
404	0.2876580185
405	0.2873075572
406	0.2871175026
407	0.2869654309
408	0.2867681609
409	0.2865954498
410	0.2864360631
411	0.2863214003
412	0.2859592977
413	0.2854210978
414	0.2851077294
415	0.2849136072
416	0.2846821791
417	0.2845739621
418	0.284331518
419	0.2841736817
420	0.283720155
421	0.2835960325
422	0.2831090025
423	0.2830054803
424	0.2825951306
425	0.2825084056
426	0.2823987318
427	0.2821091168
428	0.2818870715
429	0.2816237849
430	0.2813794659
431	0.2810004297
432	0.2805297659
433	0.280310666
434	0.2797231545
435	0.2793119182
436	0.2792115487
437	0.2791084237
438	0.2789910188
439	0.2788207861
440	0.2785895176
441	0.2784432178
442	0.2779211945
443	0.2773467589
444	0.2772368335
445	0.2770960809
446	0.2770255414
447	0.2768664366
448	0.2767952443
449	0.2765857971
450	0.2761961362
451	0.2757304103
452	0.2755139104
453	0.2753139418
454	0.2747868885
455	0.2744085447
456	0.2742031762
457	0.2738698247
458	0.2737699045
459	0.2736405417
460	0.2732942656
461	0.272958532
462	0.2726783914
463	0.2725788247
464	0.2723702352
465	0.2721025988
466	0.2717979372
467	0.2717380713
468	0.271244635
469	0.2710451725
470	0.2705411513
471	0.2702488255
472	0.2699996872
473	0.269895691
474	0.2698124115
475	0.2696096357
476	0.2692504759
477	0.2687894022
478	0.2685600733
479	0.2682310212
480	0.2680535261
481	0.2678592402
482	0.2675550571
483	0.2674663835
484	0.2674006553
485	0.2672397996
486	0.2666388514
487	0.2660783601
488	0.2659576599
489	0.2657994968
490	0.2653653527
491	0.2652598364
492	0.265071857
493	0.2647621873
494	0.2644014563
495	0.264143884
496	0.2639355291
497	0.2636479091
498	0.2634232854
499	0.2632969336
500	0.2630560057
501	0.2627397486
502	0.2624245811
503	0.2622855256
504	0.262042657
505	0.2619493092
506	0.2618085377
507	0.2617487079
508	0.261539976
509	0.2614459331
510	0.261323706
511	0.2612067729
512	0.2609989497
513	0.2608752054
514	0.2607888694
515	0.2605814391
516	0.2605241422
517	0.2600996906
518	0.2599930658
519	0.2596871937
520	0.2594860141
521	0.2593750337
522	0.2592343289
523	0.2591092099
524	0.25869358
525	0.258442276
526	0.2583712898
527	0.2582799391
528	0.2578623946
529	0.2573819415
530	0.2573182484
531	0.2569305309
532	0.2567167126
533	0.2566000383
534	0.2565558311
535	0.2562553056
536	0.2561843538
537	0.2559070711
538	0.2557291476
539	0.2554669982
540	0.2550749376
541	0.2548679329
542	0.2547896459
543	0.2546471511
544	0.2545092083
545	0.2544184837
546	0.2539606454
547	0.2534313392
548	0.2533541958
549	0.2529711412
550	0.2526301931
551	0.2522735113
552	0.2519431764
553	0.2518691167
554	0.2516817764
555	0.2515168548
556	0.2511305827
557	0.2508738629
558	0.2505155517
559	0.2503909217
560	0.2501698961
561	0.2499654438
562	0.2494623302
563	0.2493685055
564	0.2489761435
565	0.2487524124
566	0.2484344275
567	0.2482221379
568	0.2481583791
569	0.2480869145
570	0.2480284164
571	0.2478133494
572	0.2477468768
573	0.2474999881
574	0.2473539863
575	0.2471149707
576	0.247040484
577	0.2469841495
578	0.2467284888
579	0.2465573491
580	0.2464744829
581	0.2463755132
582	0.2460953621
583	0.2458077692
584	0.2456539423
585	0.2455340911
586	0.2453428709
587	0.2450308676
